Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
300.87,31.7,505,505,0,0,109.7235986,590.3701844,USDT_BTC,Crossover moving average,0,44,2,-269.17
235.69,-33.85,400,399,0,0,141.5099417,752.0568798,USDT_ADA,Crossover moving average,0,26,20,-269.54
235.69,-34.27,274,273,0,0,147.6463987,752.0568798,USDT_ADA,Crossover moving average,0,34,22,-269.96
235.69,-34.33,253,252,0,0,162.388636,752.0568798,USDT_ADA,Crossover moving average,0,38,26,-270.02
235.69,-34.36,322,322,0,0,152.0599939,752.0568798,USDT_ADA,Crossover moving average,0,40,34,-270.05
300.87,30.34,693,693,0,0,128.9356531,590.3701844,USDT_BTC,Crossover moving average,0,28,2,-270.53
235.69,-35.09,299,298,0,0,180.360167,752.0568798,USDT_ADA,Crossover moving average,0,36,28,-270.78
235.69,-35.09,246,246,0,0,168.3286596,752.0568798,USDT_ADA,Crossover moving average,0,38,14,-270.78
235.69,-35.37,307,306,0,0,132.6874224,752.0568798,USDT_ADA,Crossover moving average,0,30,18,-271.06
300.87,29.78,887,887,0,0,148.0686178,590.3701844,USDT_BTC,Crossover moving average,0,18,2,-271.09
235.69,-35.62,461,460,0,0,147.968827,752.0568798,USDT_ADA,Crossover moving average,0,28,24,-271.31
235.69,-35.73,211,211,0,0,147.5439492,752.0568798,USDT_ADA,Crossover moving average,0,44,28,-271.42
300.87,29.43,496,496,0,0,107.0082426,590.3701844,USDT_BTC,Crossover moving average,0,48,2,-271.44
235.69,-35.91,813,812,0,0,156.7571667,752.0568798,USDT_ADA,Crossover moving average,0,16,2,-271.6
300.87,29.17,375,375,0,0,111.6907232,590.3701844,USDT_BTC,Crossover moving average,0,30,20,-271.7
235.69,-36.06,264,263,0,0,170.7210127,752.0568798,USDT_ADA,Crossover moving average,0,38,28,-271.75
235.69,-36.45,254,253,0,0,156.2159679,752.0568798,USDT_ADA,Crossover moving average,0,36,16,-272.14
235.69,-36.58,440,439,0,0,157.629015,752.0568798,USDT_ADA,Crossover moving average,0,30,26,-272.27
465.69,192.99,439,438,0,0,594.741224,1107.833015,USDT_ETH,Crossover moving average,0,6,26,-272.7
300.87,28.04,652,651,0,0,146.2157381,590.3701844,USDT_BTC,Crossover moving average,0,16,20,-272.83
235.69,-37.2,610,609,0,0,174.6249876,752.0568798,USDT_ADA,Crossover moving average,0,28,2,-272.89
235.69,-37.6,242,241,0,0,164.666815,752.0568798,USDT_ADA,Crossover moving average,0,38,24,-273.29
235.69,-37.69,208,208,0,0,152.092673,752.0568798,USDT_ADA,Crossover moving average,0,44,26,-273.38
235.69,-37.69,193,192,0,0,150.6304399,752.0568798,USDT_ADA,Crossover moving average,0,48,26,-273.38
465.69,191.99,404,403,0,0,583.3849341,1107.833015,USDT_ETH,Crossover moving average,0,10,26,-273.7
235.69,-38.05,657,657,0,0,149.0791903,752.0568798,USDT_ADA,Crossover moving average,0,22,2,-273.74
197.62,-76.23,1163,1163,0,0,261.6719322,434.2002572,USDT_LTC,Crossover moving average,0,2,12,-273.85
300.87,26.89,500,500,0,0,104.4715178,590.3701844,USDT_BTC,Crossover moving average,0,46,2,-273.98
300.87,26.83,572,572,0,0,114.4160527,590.3701844,USDT_BTC,Crossover moving average,0,38,2,-274.04
235.69,-38.35,242,242,0,0,158.3710484,752.0568798,USDT_ADA,Crossover moving average,0,40,28,-274.04
235.69,-38.38,568,567,0,0,148.1637443,752.0568798,USDT_ADA,Crossover moving average,0,32,2,-274.07
300.87,26.63,582,582,0,0,124.4030373,590.3701844,USDT_BTC,Crossover moving average,0,36,2,-274.24
300.87,26.58,747,747,0,0,124.3554032,590.3701844,USDT_BTC,Crossover moving average,0,24,2,-274.29
235.69,-38.75,257,256,0,0,156.4819752,752.0568798,USDT_ADA,Crossover moving average,0,36,22,-274.44
235.69,-38.78,227,226,0,0,150.956674,752.0568798,USDT_ADA,Crossover moving average,0,40,18,-274.47
465.69,191.2,622,622,0,0,571.8531932,1107.833015,USDT_ETH,Crossover moving average,0,4,20,-274.49
235.69,-39.46,195,195,0,0,140.1304118,752.0568798,USDT_ADA,Crossover moving average,0,48,28,-275.15
235.69,-39.61,270,270,0,0,171.0828768,752.0568798,USDT_ADA,Crossover moving average,0,38,10,-275.3
