Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
300.87,65.54,742,742,0,0,160.6368539,590.3701844,USDT_BTC,exp_no_volume,0,52,0,-235.33
300.87,65.46,917,917,0,0,172.2050345,590.3701844,USDT_BTC,exp_no_volume,0,38,0,-235.41
300.87,65.33,992,991,0,0,170.5295255,590.3701844,USDT_BTC,exp_no_volume,0,32,0,-235.54
300.87,64.82,1184,1183,0,0,171.7224189,590.3701844,USDT_BTC,exp_no_volume,0,23,0,-236.05
300.87,64.66,1021,1020,0,0,166.139353,590.3701844,USDT_BTC,exp_no_volume,0,31,0,-236.21
300.87,63.55,716,716,0,0,165.2046198,590.3701844,USDT_BTC,exp_no_volume,0,55,0,-237.32
300.87,63.18,733,733,0,0,158.4285641,590.3701844,USDT_BTC,exp_no_volume,0,53,0,-237.69
300.87,63.08,1033,1032,0,0,160.9051604,590.3701844,USDT_BTC,exp_no_volume,0,30,0,-237.79
300.87,60.92,969,969,0,0,167.5409249,590.3701844,USDT_BTC,exp_no_volume,0,33,0,-239.95
300.87,59.14,705,705,0,0,160.2251528,590.3701844,USDT_BTC,exp_no_volume,0,56,0,-241.73
300.87,57.84,958,958,0,0,161.6031138,590.3701844,USDT_BTC,exp_no_volume,0,34,0,-243.03
300.87,57.82,1154,1153,0,0,163.3319265,590.3701844,USDT_BTC,exp_no_volume,0,24,0,-243.05
300.87,57.1,894,894,0,0,158.2871775,590.3701844,USDT_BTC,exp_no_volume,0,39,0,-243.77
300.87,56.84,1116,1115,0,0,160.4441552,590.3701844,USDT_BTC,exp_no_volume,0,26,0,-244.03
300.87,56.15,689,689,0,0,153.1539739,590.3701844,USDT_BTC,exp_no_volume,0,58,0,-244.72
300.87,55.13,681,681,0,0,151.0775292,590.3701844,USDT_BTC,exp_no_volume,0,60,0,-245.74
300.87,54.97,1138,1137,0,0,159.3694826,590.3701844,USDT_BTC,exp_no_volume,0,25,0,-245.9
300.87,54.91,1065,1064,0,0,153.6916045,590.3701844,USDT_BTC,exp_no_volume,0,28,0,-245.96
300.87,54.18,1043,1042,0,0,153.7951332,590.3701844,USDT_BTC,exp_no_volume,0,29,0,-246.69
300.87,54.1,1092,1091,0,0,155.9392427,590.3701844,USDT_BTC,exp_no_volume,0,27,0,-246.77
300.87,52.8,682,682,0,0,145.6144268,590.3701844,USDT_BTC,exp_no_volume,0,59,0,-248.07
300.87,52.09,695,695,0,0,148.0520939,590.3701844,USDT_BTC,exp_no_volume,0,57,0,-248.78
300.87,50.92,663,663,0,0,141.1474359,590.3701844,USDT_BTC,exp_no_volume,0,61,0,-249.95
300.87,50.76,936,936,0,0,152.4878067,590.3701844,USDT_BTC,exp_no_volume,0,36,0,-250.11
465.69,215.43,2062,2061,0,0,530.0295856,1107.833015,USDT_ETH,exp_no_volume,0,8,0,-250.26
300.87,47.94,942,942,0,0,144.0733632,590.3701844,USDT_BTC,exp_no_volume,0,35,0,-252.93
300.87,47.9,599,599,0,0,127.9049329,590.3701844,USDT_BTC,exp_no_volume,0,70,0,-252.97
300.87,47.79,650,650,0,0,135.1135212,590.3701844,USDT_BTC,exp_no_volume,0,63,0,-253.08
300.87,47.76,601,601,0,0,129.1264036,590.3701844,USDT_BTC,exp_no_volume,0,69,0,-253.11
300.87,46.84,608,608,0,0,132.221371,590.3701844,USDT_BTC,exp_no_volume,0,68,0,-254.03
300.87,45.83,652,652,0,0,136.1398563,590.3701844,USDT_BTC,exp_no_volume,0,62,0,-255.04
300.87,43.87,625,625,0,0,127.8345261,590.3701844,USDT_BTC,exp_no_volume,0,65,0,-257
300.87,42.11,620,620,0,0,125.9728453,590.3701844,USDT_BTC,exp_no_volume,0,66,0,-258.76
300.87,42.06,610,610,0,0,126.573544,590.3701844,USDT_BTC,exp_no_volume,0,67,0,-258.81
300.87,39.84,582,582,0,0,118.2874175,590.3701844,USDT_BTC,exp_no_volume,0,72,0,-261.03
300.87,37.46,577,577,0,0,121.3125116,590.3701844,USDT_BTC,exp_no_volume,0,75,0,-263.41
300.87,36.99,543,543,0,0,122.6437037,590.3701844,USDT_BTC,exp_no_volume,0,78,0,-263.88
300.87,36.74,584,584,0,0,116.0457872,590.3701844,USDT_BTC,exp_no_volume,0,73,0,-264.13
300.87,36.52,593,593,0,0,118.3164524,590.3701844,USDT_BTC,exp_no_volume,0,71,0,-264.35
300.87,35.98,622,622,0,0,117.9496112,590.3701844,USDT_BTC,exp_no_volume,0,64,0,-264.89
300.87,35.92,579,579,0,0,116.4602319,590.3701844,USDT_BTC,exp_no_volume,0,74,0,-264.95
300.87,35.59,530,530,0,0,122.1092982,590.3701844,USDT_BTC,exp_no_volume,0,79,0,-265.28
300.87,35.05,554,554,0,0,116.8221684,590.3701844,USDT_BTC,exp_no_volume,0,77,0,-265.82
300.87,34.44,563,563,0,0,114.5423386,590.3701844,USDT_BTC,exp_no_volume,0,76,0,-266.43
465.69,167.91,1937,1936,0,0,446.634052,1107.833015,USDT_ETH,exp_no_volume,0,9,0,-297.78
465.69,149.24,1706,1705,0,0,372.0300243,1107.833015,USDT_ETH,exp_no_volume,0,12,0,-316.45
465.69,145.83,1283,1282,0,0,332.3107909,1107.833015,USDT_ETH,exp_no_volume,0,21,0,-319.86
