Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,6,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,6,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,6,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,6,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,6,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,8,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,8,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,8,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,8,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,8,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,8,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,8,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,10,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,10,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,10,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,10,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,10,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,10,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,10,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,12,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,12,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,12,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,12,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,12,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,12,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,12,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,14,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,14,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,14,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,14,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,14,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,14,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,14,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,16,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,16,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,16,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,16,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,16,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,16,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,16,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,18,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,18,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,18,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,18,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,18,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,18,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,18,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,20,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,20,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,20,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,20,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,20,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,20,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,20,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,22,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,22,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,22,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,22,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,22,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,22,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,22,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,24,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,24,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,24,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,24,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,24,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,24,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,24,0,0
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard,26,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard,26,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard,26,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard,26,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard,26,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard,26,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard,26,0,0
