Net Return,Price Window,Volume_Window
-538.8499999999999,12,20
-451.89,12,22
-452.4599999999999,12,24
-449.66999999999985,12,26
-388.4299999999997,12,28
-380.95000000000005,12,30
-460.97000000000025,12,32
-405.3699999999998,12,34
-316.3199999999998,12,36
-210.80000000000018,12,38
-144.52999999999997,12,40
-206.61,12,42
-250.45000000000005,12,44
-336.3000000000002,12,46
-258.99,12,48
-1201.01,14,0
-67.1099999999999,14,2
-175.13999999999987,14,4
-165.98999999999978,14,6
-203.66999999999985,14,8
-253.37,14,10
-215.48000000000013,14,12
-270.77,14,14
-316.19999999999993,14,16
-352.89,14,18
-423.5999999999999,14,20
-248.74,14,22
-333.01,14,24
-368.4999999999998,14,26
-340.18999999999994,14,28
-304.57000000000005,14,30
-350.88999999999976,14,32
-279.62,14,34
-219.63999999999976,14,36
-191.89999999999975,14,38
-76.29999999999973,14,40
-157.07999999999993,14,42
-212.27999999999997,14,44
-314.8399999999997,14,46
-253.40999999999974,14,48
-1201.01,16,0
-6.209999999999809,16,2
-174.00999999999976,16,4
-83.49999999999977,16,6
-83.8900000000001,16,8
-234.3699999999999,16,10
-256.92999999999984,16,12
-336.15999999999974,16,14
-346.22,16,16
-374.2399999999998,16,18
-455.15999999999985,16,20
-264.07000000000005,16,22
-317.0899999999998,16,24
-345.4200000000003,16,26
-338.4899999999998,16,28
-326.41999999999996,16,30
-385.48,16,32
-393.1300000000001,16,34
-293.15999999999974,16,36
-257.9000000000001,16,38
-191.54999999999995,16,40
-238.5999999999998,16,42
-305.5799999999999,16,44
-383.77999999999986,16,46
-353.0,16,48
-1201.01,18,0
-217.78999999999974,18,2
-298.05999999999995,18,4
-218.32999999999993,18,6
-27.24000000000001,18,8
-233.64999999999998,18,10
-335.0400000000002,18,12
-316.53,18,14
-216.0100000000001,18,16
-252.55999999999995,18,18
-311.25,18,20
-190.34000000000003,18,22
-246.70000000000005,18,24
-241.42999999999984,18,26
-222.63999999999965,18,28
-209.24,18,30
-246.36999999999966,18,32
-198.8299999999998,18,34
-147.12999999999965,18,36
-135.51,18,38
-69.45999999999981,18,40
-158.3599999999999,18,42
-250.76999999999964,18,44
-307.8900000000001,18,46
-242.62,18,48
-1201.01,20,0
-351.87,20,2
-469.41999999999996,20,4
-518.49,20,6
-343.22000000000025,20,8
-533.59,20,10
-542.8199999999998,20,12
-520.54,20,14
-468.71000000000004,20,16
-492.37,20,18
-537.97,20,20
-452.7199999999999,20,22
-511.43000000000006,20,24
-435.87,20,26
-434.69999999999993,20,28
-431.6799999999997,20,30
-493.4000000000001,20,32
-456.9599999999999,20,34
